Date,Open,High,Low,Close,Volume
2019-02-13,5400,5500,5275,5450,5208900
2019-02-14,5450,5850,5450,5775,8734000
2019-02-15,5800,5850,5525,5725,5877000
2019-02-18,5750,5800,5525,5675,5367100
2019-02-19,5700,5725,5525,5550,5323400
2019-02-20,5625,5825,5600,5725,8364400
2019-02-21,5800,5875,5575,5750,11182000
2019-02-22,5750,5800,5700,5750,8216600
2019-02-25,5800,5800,5675,5675,5040400
2019-02-26,5675,5750,5175,5475,5610500
2019-02-27,5500,5575,5250,5350,7103200
2019-02-28,5375,5675,5375,5550,6758900
2019-03-01,5625,5650,5500,5550,3912600
2019-03-04,5525,5575,5325,5500,4295700
2019-03-05,5450,5500,5375,5450,3230600
2019-03-06,5475,5525,5400,5500,5477500
2019-03-08,5550,5550,5175,5275,5720400
2019-03-11,5175,5275,5050,5125,7960100
2019-03-12,5125,5500,5100,5350,6856600
2019-03-13,5300,5475,5225,5325,4461800
2019-03-14,5425,5475,5300,5350,5324100
2019-03-15,5300,5425,5225,5350,5267900
2019-03-18,5500,5550,5250,5300,3975700
2019-03-19,5300,5300,4870,4890,12395800
2019-03-20,4840,4910,4650,4710,9656500
2019-03-21,4750,4780,4670,4690,6539300
2019-03-22,4710,4740,4590,4600,5386100
2019-03-25,4610,4610,4460,4480,8527700
2019-03-26,4520,4850,4480,4840,11746000
2019-03-27,4820,4860,4710,4790,8569100
2019-03-28,4820,4830,4760,4780,5764500
2019-03-29,4800,4820,4700,4730,4396500
2019-04-01,4770,4780,4690,4760,3205600
2019-04-02,4760,4830,4750,4770,3638700
2019-04-04,4770,4800,4750,4770,3633900
2019-04-05,4750,4770,4700,4730,2917300
2019-04-08,4770,4770,4660,4720,5227800
2019-04-09,4720,4790,4720,4750,3609700
2019-04-10,4720,4850,4720,4830,4735900
2019-04-11,4870,4950,4870,4890,5712300
2019-04-12,4860,4900,4710,4750,4922800
2019-04-15,4780,4780,4660,4700,4459700
2019-04-16,4700,4710,4600,4610,4718600
2019-04-18,4650,4830,4650,4750,6442700
2019-04-22,4770,4810,4750,4780,5228200
2019-04-23,4770,4790,4720,4740,4547200
2019-04-24,4730,4750,4710,4730,2819200
2019-04-25,4700,4720,4560,4590,5528700
2019-04-26,4560,4560,4470,4480,6318100
2019-04-29,4470,4550,4440,4550,5893300
2019-04-30,4500,4530,4390,4450,4782900
2019-05-02,4440,4450,4060,4150,13911700
2019-05-03,4120,4160,4070,4130,7600100
2019-05-06,4070,4280,4040,4270,7776200
2019-05-07,4270,4310,4210,4290,8026500
2019-05-08,4280,4280,4190,4230,4683500
2019-05-09,4230,4290,4200,4250,5335000
2019-05-10,4230,4230,4110,4150,4490400
2019-05-13,4150,4150,4050,4050,4956500
2019-05-14,4000,4020,3910,4000,2888000
2019-05-15,4030,4030,3950,3990,3566800
2019-05-16,3970,3990,3910,3960,4526600
2019-05-17,3950,4020,3880,3900,2817000
2019-05-20,3940,3940,3810,3820,5681100
2019-05-21,3870,4020,3820,3990,9019800
2019-05-22,4000,4090,3970,4070,6570300
2019-05-23,4070,4170,4000,4000,10234200
2019-05-24,4010,4090,4000,4020,4809800
2019-05-27,4020,4070,4010,4070,6467700
2019-05-28,4070,4140,3990,4140,8727100
2019-05-29,4120,4120,4000,4010,8828500
2019-05-31,4010,4050,3930,3980,9027900
2019-06-10,3980,4100,3960,4000,11045100
2019-06-11,4000,4060,3980,4000,8406400
2019-06-12,3980,4230,3980,4210,13605400
2019-06-13,4250,4540,4250,4510,20741100
2019-06-14,4530,4580,4310,4380,9381200
2019-06-17,4380,4380,4260,4280,8121700
2019-06-18,4300,4350,4210,4240,6712000
2019-06-20,4330,4330,4230,4270,9076600
2019-06-21,4330,4360,4230,4240,7821500
2019-06-24,4220,4240,4100,4120,7816800
2019-06-25,4150,4180,4100,4120,6477700
2019-06-26,4100,4150,4070,4090,6220800
2019-06-27,4100,4110,4070,4070,6630000
2019-06-28,4090,4110,4070,4090,5540600
2019-07-01,4110,4140,4030,4080,10065200
2019-07-02,4100,4240,4070,4190,9556000
2019-07-03,4220,4280,4140,4250,12525000
2019-07-04,4270,4330,4250,4260,7289500
2019-07-05,4280,4290,4140,4150,4352700
2019-07-08,4150,4160,4100,4140,5580200
2019-07-09,4180,4200,4100,4140,6274000
2019-07-10,4180,4420,4180,4410,23171600
2019-07-11,4440,4440,4300,4310,12783700
